subID,trial,responseTime,trueTime,ansTime,condition,index
29,3,2016-04,2015-04,2015-04,Memory,0
29,4,2016-04,2016-04,2016-04,Memory,0
29,5,2016-04,2015-04,2015-04,Memory,0
29,6,2016-04,2015-09,2015-09,Memory,0
29,7,2016-04,2016-01,2016-01,Possible Past,0
29,8,2016-04,2016-02,2016-01,Possible Past,-1
29,9,2016-04,2016-04,2016-04,Possible Past,0
29,10,2016-04,2016-03,2016-03,Possible Past,0
29,11,2016-04,2015-02,2015-02,Possible Past,0
29,12,2016-04,2012-08,2012-08,Possible Past,0
29,13,2016-04,2016-07,2016-07,Possible Future,0
29,14,2016-04,2017-12,2016-12,Possible Future,-12
29,15,2016-04,2016-07,2016-07,Possible Future,0
29,16,2016-04,2020-07,2020-07,Possible Future,0
29,17,2016-04,2018-12,2017-12,Possible Future,-12
29,18,2016-04,2016-06,2016-05,Possible Future,0
30,1,2016-04,2015-10,2015-10,Memory,0
30,2,2016-04,2016-01,2015-06,Memory,-12
30,3,2016-04,2012-12,2012-11,Memory,-1
30,4,2016-04,2015-04,2015-04,Memory,0
30,5,2016-04,2015-12,2015-12,Memory,0
30,6,2016-04,2015-03,2015-08,Memory,6
30,7,2016-04,2014-08,2014-09,Possible Past,1
30,8,2016-04,2016-02,2015-02,Possible Past,-12
30,9,2016-04,2006-12,2006-12,Possible Past,0
30,10,2016-04,2010-06,2006-11,Possible Past,-43
30,11,2016-04,2014-03,2015-07,Possible Past,16
30,12,2016-04,2015-09,2015-09,Possible Past,0
30,13,2016-04,2018-09,2018-05,Possible Future,0
30,14,2016-04,2017-04,2016-04,Possible Future,-12
30,15,2016-04,2018-04,2018-04,Possible Future,0
30,16,2016-04,2023-08,2023-10,Possible Future,2
30,17,2016-04,2017-03,2017-03,Possible Future,0
30,18,2016-04,2017-10,2017-10,Possible Future,0
31,1,2016-05,2014-08,2014-08,Memory,0
31,2,2016-05,2015-02,2015-02,Memory,0
31,3,2016-05,2006-01,2007-02,Memory,11
31,4,2016-05,2015-06,2015-06,Memory,0
31,5,2016-05,2015-10,2015-10,Memory,0
31,6,2016-05,2014-05,2013-05,Memory,-12
31,7,2016-05,2015-04,2014-06,Possible Past,-11
31,8,2016-05,2007-06,2006-07,Possible Past,-12
31,9,2016-05,2015-11,2015-11,Possible Past,0
31,10,2016-05,2007-05,2010-04,Possible Past,35
31,11,2016-05,2015-05,2015-07,Possible Past,2
